,word,count_1,count_2,count_3,count_4,sum
0,aaa,43.0,0.0,19.0,0.0,62.0
1,aaas,10.0,0.0,0.0,0.0,10.0
2,aactive,11.0,0.0,0.0,0.0,11.0
3,aadvantage,31.0,0.0,0.0,0.0,31.0
4,aaker,10.0,0.0,0.0,0.0,10.0
5,aap,27.0,0.0,0.0,0.0,27.0
6,aapg,41.0,0.0,0.0,0.0,41.0
7,aaron,395.0,0.0,0.0,0.0,395.0
8,aarp,25.0,12.0,0.0,0.0,37.0
9,aas,49.0,0.0,0.0,0.0,49.0
10,aau,39.0,0.0,0.0,0.0,39.0
11,ab1890,147.0,0.0,0.0,0.0,147.0
12,ab1x,303.0,0.0,0.0,0.0,303.0
13,ab31x,31.0,0.0,0.0,0.0,31.0
14,aba,28.0,0.0,0.0,0.0,28.0
15,abacus,12.0,0.0,0.0,0.0,12.0
16,abag,58.0,0.0,0.0,0.0,58.0
17,abalone,19.0,0.0,0.0,0.0,19.0
18,abandon,151.0,28.0,0.0,55.0,234.0
19,abandoned,132.0,25.0,0.0,96.0,253.0
20,abandoning,63.0,17.0,0.0,24.0,104.0
21,abandonment,32.0,0.0,12.0,3.0,47.0
22,abate,12.0,0.0,0.0,1.0,13.0
23,abated,17.0,0.0,0.0,1.0,18.0
24,abb,97.0,20.0,0.0,0.0,117.0
25,abbott,66.0,0.0,83.0,0.0,149.0
26,abbreviated,57.0,0.0,14.0,6.0,77.0
27,abbreviation,9.0,0.0,0.0,5.0,14.0
28,abby,14.0,0.0,0.0,0.0,14.0
29,abc,409.0,101.0,0.0,2.0,512.0
30,abcm,10.0,0.0,0.0,0.0,10.0
31,abdullah,32.0,10.0,0.0,0.0,42.0
32,abe,53.0,0.0,10.0,0.0,63.0
33,abel,75.0,0.0,0.0,0.0,75.0
34,aberdeen,105.0,0.0,0.0,0.0,105.0
35,abernathy,16.0,0.0,0.0,0.0,16.0
36,aberration,20.0,0.0,0.0,5.0,25.0
37,abeyance,11.0,0.0,0.0,1.0,12.0
38,abhay,10.0,0.0,0.0,0.0,10.0
39,abhyankar,10.0,0.0,0.0,0.0,10.0
40,abide,69.0,0.0,0.0,21.0,90.0
41,abilene,23.0,0.0,0.0,0.0,23.0
42,abilities,81.0,0.0,101.0,23.0,205.0
43,ability,2154.0,111.0,699.0,412.0,3376.0
44,abitibi,12.0,0.0,0.0,0.0,12.0
45,able,5120.0,0.0,998.0,900.0,7018.0
46,abn,142.0,0.0,0.0,0.0,142.0
47,abnamro,11.0,0.0,0.0,0.0,11.0
48,abnormal,18.0,0.0,41.0,27.0,86.0
49,aboard,99.0,19.0,0.0,83.0,201.0
50,abolish,15.0,0.0,0.0,14.0,29.0
